CodigoRegion,NombreRegion,Abreviatura,CodigoProvincia,NombreProvincia,CodigoComuna,NombreComuna,Latitud,Longitud
1,TARAPACÁ,TPCA,11,IQUIQUE,1101,IQUIQUE,-20.2439,-70.1389
1,TARAPACÁ,TPCA,11,IQUIQUE,1107,ALTO HOSPICIO,-20.2569,-70.0219
1,TARAPACÁ,TPCA,14,TAMARUGAL,1401,POZO ALMONTE,-20.2908,-69.6958
1,TARAPACÁ,TPCA,14,TAMARUGAL,1402,CAMIÑA,-20.4828,-69.3669
1,TARAPACÁ,TPCA,14,TAMARUGAL,1403,COLCHANE,-19.2839,-68.675
1,TARAPACÁ,TPCA,14,TAMARUGAL,1404,HUARA,-19.8089,-69.9719
1,TARAPACÁ,TPCA,14,TAMARUGAL,1405,PICA,-20.4828,-69.3778
2,ANTOFAGASTA,ANTOF,21,ANTOFAGASTA,2101,ANTOFAGASTA,-23.6508,-70.395
2,ANTOFAGASTA,ANTOF,21,ANTOFAGASTA,2102,MEJILLONES,-23.11,-70.4558
2,ANTOFAGASTA,ANTOF,21,ANTOFAGASTA,2103,SIERRA GORDA,-22.8978,-69.3228
2,ANTOFAGASTA,ANTOF,21,ANTOFAGASTA,2104,TALTAL,-25.41,-70.4889
2,ANTOFAGASTA,ANTOF,22,EL LOA,2201,CALAMA,-22.4739,-68.9239
2,ANTOFAGASTA,ANTOF,22,EL LOA,2202,OLLAGÜE,-21.2328,-68.2669
2,ANTOFAGASTA,ANTOF,22,EL LOA,2203,SAN PEDRO DE ATACAMA,-22.92,-68.21
2,ANTOFAGASTA,ANTOF,23,TOCOPILLA,2301,TOCOPILLA,-22.0819,-70.1889
2,ANTOFAGASTA,ANTOF,23,TOCOPILLA,2302,MARÍA ELENA,-22.3169,-69.6769
3,ATACAMA,ATCMA,31,COPIAPÓ,3101,COPIAPÓ,-27.375,-70.3289
3,ATACAMA,ATCMA,31,COPIAPÓ,3102,CALDERA,-27.0658,-70.8258
3,ATACAMA,ATCMA,31,COPIAPÓ,3103,TIERRA AMARILLA,-27.4728,-70.2828
3,ATACAMA,ATCMA,32,CHAÑARAL,3201,CHAÑARAL,-26.3458,-70.6239
3,ATACAMA,ATCMA,32,CHAÑARAL,3202,DIEGO DE ALMAGRO,-26.39,-70.0519
3,ATACAMA,ATCMA,33,HUASCO,3301,VALLENAR,-28.5769,-70.77
3,ATACAMA,ATCMA,33,HUASCO,3302,ALTO DEL CARMEN,-28.7489,-70.4908
3,ATACAMA,ATCMA,33,HUASCO,3303,FREIRINA,-28.5058,-71.0758
3,ATACAMA,ATCMA,33,HUASCO,3304,HUASCO,-28.4558,-71.1858
4,COQUIMBO,COQ,41,ELQUI,4101,LA SERENA,-29.9069,-71.2469
4,COQUIMBO,COQ,41,ELQUI,4102,COQUIMBO,-29.9708,-71.3069
4,COQUIMBO,COQ,41,ELQUI,4103,ANDACOLLO,-30.23,-71.0858
4,COQUIMBO,COQ,41,ELQUI,4104,LA HIGUERA,-29.5,-71.2828
4,COQUIMBO,COQ,41,ELQUI,4105,PAIGUANO,-30.0378,-70.5069
4,COQUIMBO,COQ,41,ELQUI,4106,VICUÑA,-30.0189,-70.715
4,COQUIMBO,COQ,42,CHOAPA,4201,ILLAPEL,-31.6389,-71.1789
4,COQUIMBO,COQ,42,CHOAPA,4202,CANELA,-31.3958,-71.4189
4,COQUIMBO,COQ,42,CHOAPA,4203,LOS VILOS,-31.915,-71.5058
4,COQUIMBO,COQ,42,CHOAPA,4204,SALAMANCA,-31.78,-70.9669
4,COQUIMBO,COQ,43,LIMARÍ,4301,OVALLE,-30.5989,-71.1889
4,COQUIMBO,COQ,43,LIMARÍ,4302,COMBARBALÁ,-31.18,-71.0039
4,COQUIMBO,COQ,43,LIMARÍ,4303,MONTE PATRIA,-30.775,-70.9428
4,COQUIMBO,COQ,43,LIMARÍ,4304,PUNITAQUI,-30.8328,-71.26
4,COQUIMBO,COQ,43,LIMARÍ,4305,RÍO HURTADO,-30.2728,-70.6669
5,VALPARAÍSO,VALPO,51,VALPARAÍSO,5101,VALPARAÍSO,-33.0333,-71.6667
5,VALPARAÍSO,VALPO,51,VALPARAÍSO,5102,CASABLANCA,-33.325,-71.41
5,VALPARAÍSO,VALPO,51,VALPARAÍSO,5103,CONCÓN,-32.96,-71.4689
5,VALPARAÍSO,VALPO,51,VALPARAÍSO,5104,JUAN FERNÁNDEZ,-33.6328,-78.8669
5,VALPARAÍSO,VALPO,51,VALPARAÍSO,5105,PUCHUNCAVÍ,-32.7478,-71.3978
5,VALPARAÍSO,VALPO,51,VALPARAÍSO,5107,QUINTERO,-32.845,-71.4669
5,VALPARAÍSO,VALPO,51,VALPARAÍSO,5109,VIÑA DEL MAR,-33.025,-71.515
5,VALPARAÍSO,VALPO,52,ISLA DE PASCUA,5201,ISLA DE PASCUA,-27.1286,-109.3597
5,VALPARAÍSO,VALPO,53,LOS ANDES,5301,LOS ANDES,-32.8369,-70.5969
5,VALPARAÍSO,VALPO,53,LOS ANDES,5302,CALLE LARGA,-32.8831,-70.4819
5,VALPARAÍSO,VALPO,53,LOS ANDES,5303,RINCONADA,-32.8331,-70.6883
5,VALPARAÍSO,VALPO,53,LOS ANDES,5304,SAN ESTEBAN,-32.805,-70.5808
5,VALPARAÍSO,VALPO,54,PETORCA,5401,LA LIGUA,-32.3536,-71.2719
5,VALPARAÍSO,VALPO,54,PETORCA,5402,CABILDO,-32.4089,-71.08
5,VALPARAÍSO,VALPO,54,PETORCA,5403,PAPUDO,-32.47,-71.3808
5,VALPARAÍSO,VALPO,54,PETORCA,5404,PETORCA,-32.29,-70.95
5,VALPARAÍSO,VALPO,54,PETORCA,5405,ZAPALLAR,-32.5678,-71.4378
5,VALPARAÍSO,VALPO,55,QUILLOTA,5501,QUILLOTA,-32.915,-71.2639
5,VALPARAÍSO,VALPO,55,QUILLOTA,5502,CALERA,-32.7839,-71.2039
5,VALPARAÍSO,VALPO,55,QUILLOTA,5503,HIJUELAS,-32.855,-71.0939
5,VALPARAÍSO,VALPO,55,QUILLOTA,5504,LA CRUZ,-32.8239,-71.2439
5,VALPARAÍSO,VALPO,55,QUILLOTA,5506,NOGALES,-32.7358,-71.2078
5,VALPARAÍSO,VALPO,56,SAN ANTONIO,5601,SAN ANTONIO,-33.5947,-71.6072
5,VALPARAÍSO,VALPO,56,SAN ANTONIO,5602,ALGARROBO,-33.3692,-71.6681
5,VALPARAÍSO,VALPO,56,SAN ANTONIO,5603,CARTAGENA,-33.5536,-71.6075
5,VALPARAÍSO,VALPO,56,SAN ANTONIO,5604,EL QUISCO,-33.3914,-71.6928
5,VALPARAÍSO,VALPO,56,SAN ANTONIO,5605,EL TABO,-33.48,-71.6208
5,VALPARAÍSO,VALPO,56,SAN ANTONIO,5606,SANTO DOMINGO,-33.7078,-71.63
5,VALPARAÍSO,VALPO,57,SAN FELIPE DE ACONCAGUA,5701,SAN FELIPE,-32.75,-70.7128
5,VALPARAÍSO,VALPO,57,SAN FELIPE DE ACONCAGUA,5702,CATEMU,-32.7808,-70.9689
5,VALPARAÍSO,VALPO,57,SAN FELIPE DE ACONCAGUA,5703,LLAILLAY,-32.8439,-70.9569
5,VALPARAÍSO,VALPO,57,SAN FELIPE DE ACONCAGUA,5704,PANQUEHUE,-32.7839,-70.8369
5,VALPARAÍSO,VALPO,57,SAN FELIPE DE ACONCAGUA,5705,PUTAENDO,-32.6278,-70.7158
5,VALPARAÍSO,VALPO,57,SAN FELIPE DE ACONCAGUA,5706,SANTA MARÍA,-32.7503,-70.6669
5,VALPARAÍSO,VALPO,58,MARGA MARGA,5801,QUILPUÉ,-33.0475,-71.4422
5,VALPARAÍSO,VALPO,58,MARGA MARGA,5802,LIMACHE,-33.0028,-71.2608
